date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:51	10341192/10341192	U-----	200	untouched ('')	application/pdf	etag:%229dcb48-48ffeac2df200%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xcell13.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xcell13.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:51	742481/742481	U-----	200	untouched ('')	application/pdf	etag:%22b5451-48ffeade87340%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xcell18.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xcell18.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:51	12962676/12962676	U-----	200	untouched ('')	application/pdf	etag:%22c5cb74-48ffee6790a80%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xcell15.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xcell15.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:51	11639/11639	U-----	200	untouched ('OK')	text/html	date:Thu,%2001%20Apr%202021%2008:39:11%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/Xilinx-history.html	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/Xilinx-history.html	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:52	314/314	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2001%20Apr%202021%2008:39:13%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xc4004.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xc4004.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:52	314/314	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2001%20Apr%202021%2008:39:13%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xc8100fpga_family.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xc8100fpga_family.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:53	484708/484708	---M--	200	added ('OK')	application/pdf	etag:%2276564-48ffdac4bf6c0%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xc3000.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xc3000.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:53	314/314	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2001%20Apr%202021%2008:39:14%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xcell28.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xcell28.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:55	745026/745026	---M--	200	added ('OK')	application/pdf	etag:%22b5e42-49014770034a9%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xcell27.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xcell27.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:47:56	314/314	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2001%20Apr%202021%2008:39:16%20GMT	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xcell45.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xcell45.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
16:48:04	1960991/1960991	---M--	200	added ('OK')	application/pdf	etag:%221dec1f-49014793f1c9e%22	https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/xcell31.pdf	G:/FPGAH/www-inst.eecs.berkeley.edu/_cs294-59/fa10/resources/Xilinx-history/xcell31.pdf	(from https://www-inst.eecs.berkeley.edu/~cs294-59/fa10/resources/Xilinx-history/)
